input,output
He preached to us about the importance of good health.,Él nos sermoneó acerca de la importancia de una buena salud.
He read the letter with tears running down his cheeks.,"Él leyó la carta, con lágrimas deslizándose por sus mejillas."
He told the delegates what they already knew was true.,Él le contó a los delegados que lo que ellos ya sabían era cierto.
"He tried to give up smoking several times, but failed.",Él trató de dejar de fumar varias veces pero no pudo.
He used his hand to screen the sunlight from his eyes.,Él usó su mano para proteger sus ojos de la luz del sol.
"He was so immature, he couldn't resist the temptation.",Era tan inmaduro que no pudo resistir la tentación.
"He went out for a walk, with his dog following behind.","Salió a dar un paseo, con su perro siguiéndole."
He's the kind of guy who doesn't take women seriously.,Él es del tipo de hombres que no toman muy en serio a las mujeres.
Her dress attracted everyone's attention at the party.,Su vestido atrajo la atención de todos en la fiesta.
Her mother went to the United States to learn English.,Su madre fue a los Estados Unidos a aprender inglés.
How long does it take from here to your house on foot?,¿Cuánto tiempo te lleva ir andando desde aquí a tu casa?
How long would it take us to get to the nearest beach?,¿Cuánto nos llevaría llegar a la playa más cercana?
How many times a minute does the average person blink?,¿Cuántas veces por minuto parpadea de media una persona?
"I am allergic to aspirin, penicillin, and sulfa drugs.","Soy alérgico a la aspirina, a la penicilina y a las sulfamidas."
"I am allergic to aspirin, penicillin, and sulfa drugs.","Soy alérgica a la aspirina, a la penicilina y a las sulfamidas."
I am not sure whether I will be able to come with you.,No estoy seguro de poder ir con vosotros.
I am very glad to hear that you speak Scottish Gaelic.,Me alegra oír que hablas escocés gaélico.
"I asked him several times, but he simply didn't reply.","Le pregunté varias veces, pero simplemente no respondió."
"I beg your pardon, but would you repeat what you said?","Disculpe, pero, ¿podría repetir lo que ha dicho?"
I began studying French when I was thirteen years old.,Comencé a estudiar francés cuando tenía trece años.
I began to study French when I was thirteen years old.,Comencé a estudiar francés cuando tenía trece años.
I bought a sophisticated security system for my house.,Compré un sofisticado sistema de seguridad para mi casa.
I can barely remember what my grandfather looked like.,Apenas puedo recordar cómo lucía mi abuelo.
I can see some small fish swimming about in the water.,Yo puedo ver algunos peces chicos nadando por ahí.
"I can see you're busy, so I'll get right to the point.","Veo que estás ocupado, así que iré directo al grano."
"I can't afford to buy a used car, much less a new car.","No me puedo permitir un coche de segunda mano, mucho menos un coche nuevo."
I can't afford to eat in such an expensive restaurant.,No me puedo permitir ir a comer a restaurantes tan caros.
I can't believe Tom would gossip about Mary like that.,No puedo creer que Tom chusmeara sobre Mary de esa forma.
I can't believe you're going to ask Mary to marry you.,No me puedo creer que vayas a pedirle a Mary que se case contigo.
I can't believe you're taking pictures of cockroaches.,No puedo creer que estés tomando fotografías de cucarachas.
I can't blame Tom for something that was Mary's fault.,No puedo culpar a Tom por algo que fue culpa de Mary.
I can't figure out how to post a comment to this blog.,No puedo descubrir cómo postear un comentario en este blog.
I can't play it from memory. Please give me the music.,"No puedo tocar de memoria, haga el favor de darme la música."
I can't remember her address no matter how much I try.,No me puedo acordar de su dirección por más que trate.
I can't tell you any more. I've already said too much.,"No puedo contarle más, ya he dicho demasiado."
I can't understand why you don't want to eat with Tom.,No puedo entender por qué no quieres comer con Tom.
I cannot disclose any information about the informant.,No puedo revelar nada de información acerca del informante.
I convinced Tom that he should go to Boston with Mary.,Yo convencí a Tom de que fuera a Boston con Mary.
I convinced Tom that he should go to Boston with Mary.,Yo convencí a Tom de que se fuera para Boston con Mary.
I couldn't swim as well as the other kids in my class.,No pude nadar tan bien como los otros chicos de mi clase.
"I did it because I wanted to, not because I needed to.","Lo hice porque me apetecía, no porque lo necesitase."
I didn't have enough space to fit my lunch in the bag.,No tenía suficiente espacio en mi mochila para poner mi almuerzo.
I didn't know that Tom could speak French so fluently.,No sabía que Tom podía hablar francés con tanta fluidez.
I didn't want to spend any more time arguing with Tom.,No quería perder más tiempo discutiendo con Tom.
I don't feel well and would rather stay at home today.,No me siento bien y preferiría quedarme en casa hoy.
I don't have a dress good enough for such an occasion.,No tengo un vestido decente para tal ocasión.
I don't know how long this situation is going to last.,No sé cuánto va a durar esta situación.
I don't know whether he will agree to our plan or not.,No sé si él va a estar de acuerdo con nuestro plan o no.
I don't know whether you are telling the truth or not.,No sé si estás diciendo la verdad o no.
I don't think I've made enough spaghetti for everyone.,No creo que haya hecho suficiente espagueti para todos.
I don't think it's going to stop raining anytime soon.,No creo que deje de llover pronto.
I don't think television will take the place of books.,Yo no creo que la televisión vaya a reemplazar a los libros.
I don't think that you and I can do that by ourselves.,No creo que tú y yo podamos hacer eso solos.
I don't want to buy anything. I'm just looking around.,"No quiero comprar nada, sólo echar una ojeada."
I don't want to hurt Tom any more than I already have.,No quiero lastimar a Tom más de lo que ya lo lastimé.
I don't want to hurt Tom any more than I already have.,No quiero lastimar a Tom más de lo que ya lo he hecho.
I doubt that Tom understands what I tried to tell him.,Dudo que Tom entendiera lo que trataba de decirle.
"I failed to catch the last bus, and came home by taxi.",No alcancé el último bus y volví en taxi.
I fed my dog what I thought was good quality dog food.,Alimentaba a mi perro con lo que me parecía que era comida para perros de buena calidad.
I fed my dog what I thought was good quality dog food.,Alimentaba a mi perro con el pienso que me parecía de buena calidad.
I fed my dog what I thought was good quality dog food.,Alimentaba a mi perro con el alimento balanceado que me parecía de buena calidad.
I forgot to put on my tie while I was getting dressed.,Se me olvidó ponerme la corbata al vestirme.
I found something that I think you might want to read.,Encontré algo que creo que podrías querer leer.
I grabbed my little sister's hand and started running.,Cogí de la mano a mi hermana pequeña y eché a correr.
I had a feeling that something dreadful was happening.,Tenía la sensación de que algo malo estaba pasando.
I had an argument with Tom about the use of marijuana.,Discutí con Tom sobre el uso de la marihuana.
I had my brother correct the errors in my composition.,Mi hermano me corrigió los errores de la redacción.
I have a couple of friends who used to live in Boston.,Tengo un par de amigos que vivían en Boston.
I have a feeling that something is lacking in my life.,Tengo la sensación de que falta algo en mi vida.
"I have a good sense of direction, so I don't get lost.","Tengo un buen sentido de la orientación, así que no me pierdo."
I have to use a needle to inject this under your skin.,Tengo que usar esta aguja para inyectarte esto bajo la piel.
I hear that even taxi drivers often get lost in Tokyo.,He oído que incluso los taxistas se pierden en Tokio a menudo.
I heard Tom humming to himself while he washed dishes.,Escuché a Tom murmurándose a sí mismo mientras lavaba los platos.
I heard Tom speak French yesterday for the first time.,Ayer fue la primera vez que oí hablar a Tom en francés.
I just don't know why Tom doesn't want me to help him.,Simplemente no sé por qué Tom no quiere que le ayude.
I just received the list of this semester's textbooks.,Justamente recibí la lista de libros de texto para este semestre.
I just want to let you know that I won't let you down.,Sólo quiero hacerte saber que yo no te defraudaré.
I just want to let you know that I won't let you down.,Solo quiero que sepas que no te decepcionaré.
I just wanted to tell you I ran into Tom this morning.,Solo quería decirte que me he encontrado con Tom esta mañana.
"I knew I shouldn't have done it, but I did it anyways.","Sabía que no debí haberlo hecho, pero lo hice de todas formas."
I know Tom didn't know that we didn't need to do that.,Sé que Tom no sabía que no necesitábamos hacer eso.
I know that Tom didn't know we didn't need to do that.,Sé que Tom no sabía que no necesitábamos hacer eso.
I learned how to ride a bike when I was six years old.,Aprendí a montar en bicicleta cuando tenía seis años.
"I like playing tennis, though I'm not very good at it.","Me gusta jugar al tenis, aunque no se me dé nada bien."
I made use of every opportunity to improve my English.,Ocupé cada oportunidad para mejorar mi inglés.
"I ran a red light in my car, because I was in a hurry.",Me pasé una luz roja en mi auto porque estaba apresurado.
I saw your light was on and knew you were still awake.,Vi que tenías la luz encendida y supe que todavía estabas despierto.
I talked to Tom and Mary while I was waiting for John.,Hablé con Tom y Mary mientras estaba esperando a John.
I think it's highly unlikely that Tom will go bowling.,Creo que es altamente improbable que Tom vaya a jugar bolos.
I think it's time for me to get a new pair of glasses.,Creo que es hora de que consiga un nuevo par de anteojos.
I think that everyone should study a foreign language.,Opino que todo el mundo debería estudiar un idioma extranjero.
I think you'd all agree that Tom is our best salesman.,Creo que todos estaremos de acuerdo en que Tom es nuestro mejor vendedor.
I think you're the most beautiful girl I've ever seen.,Pienso que eres la niña más hermosa que jamás haya visto.
I thought Tom and Mary would have forgotten me by now.,Pensé que Tom y María se habrían olvidado de mí por ahora.
I thought Tom would ask Mary to go to Boston with him.,Pensé que Tom le pediría a María ir a Boston con él.
I thought Tom would ask Mary to go with him to Boston.,Pensé que Tom le pediría a María ir con él a Boston.
I thought Tom would at least understand the situation.,Pensé que Tom al menos comprendería la situación.
I thought we weren't supposed to go there without Tom.,Pensé que se suponía que no vamos allá sin Tom.
I thought we weren't supposed to go there without Tom.,Pensé que no debíamos ir allí sin Tom.
I thought you weren't going back for a couple of days.,Pensé que no ibas a volver por un par de días.
I took him to the most expensive restaurant on campus.,Le llevé al restaurante más caro del campus.
I want to live in a quiet city where the air is clean.,Quiero vivir en una ciudad apacible donde el aire sea limpio.
I want to remind you that you have a 2:30 appointment.,Quiero recordarte que tienes una cita a las 2:30.
I want to write my girlfriend a love letter in French.,Quiero escribirle una carta de amor en francés a mi novia.
I want you to push against my hand as hard as you can.,Quiero que empujes mi mano lo más fuerte que puedas.
"I wanted to invite you, but your friend beat me to it.","Yo quería invitarle, pero su amigo se me adelantó."
I was accosted by a complete stranger at the bus stop.,Me abordó un completo desconocido en la parada de autobús.
I was lucky that I was able to find a good babysitter.,He tenido suerte de encontrar una buena canguro.
I was lucky that I was able to find a good babysitter.,He tenido suerte de encontrar una buena niñera.
I was wearing a red dress that went down to my ankles.,Llevaba un vestido rojo largo hasta los tobillos.
I watched baseball on TV after I finished my homework.,Vi béisbol por la TV después de terminar mis deberes.
I wish I could eat some chocolate ice cream right now.,Ojalá pudiera comerme un poco de helado de chocolate ahora mismo.
I wish I could figure out how to convince Tom to stay.,Ojalá fuera capaz de averiguar cómo convencer a Tom de que se quedara.
I wish I could play the flute as well as Ian Anderson.,Desearía poder tocar la flauta traversa tan bien como Anderson.
I wonder if she'll recognize me after all these years.,Me pregunto si ella me reconocerá después de todos estos años.
I wonder why some people think black cats are unlucky.,Me pregunto por qué algunas personas piensan que los gatos negros dan mala suerte.
I would appreciate any information you can send to us.,Agradecería cualquier información que puedas enviarnos.
I would be grateful for your approval of this request.,Yo estaría agradecido por su aprobación a esta demanda.
I would go to the library if I had a car to get there.,Iría a la biblioteca si tuviera un auto para llegar allí.
I would've done it by myself if Tom hadn't been there.,Lo hubiera hecho yo solo si Tom no hubiera estado allí.
I wouldn't be too surprised if this song became a hit.,No me sorprendería demasiado si esta canción se volviera un éxito.
I wrote down his phone number so I wouldn't forget it.,Me apunté su número de teléfono para no olvidarlo.
I'd like to ask you a few questions if you don't mind.,"Me gustaría hacerte unas preguntas, si no te importa."
I'd like to be rich and not have to worry about money.,Me encantaría ser rico y no tener que preocuparme por dinero.
I'd like to rent your most inexpensive car for a week.,Quisiera alquilar el coche más barato que tenga por una semana.
I'll come at three o'clock if it is convenient to you.,Vendré a las tres si a usted le viene bien.
I'll have to tell my boss that I won't be in tomorrow.,Tendré que avisar a mi jefe que no vendré mañana.
I'll lend you the book as soon as I'm done reading it.,Te voy a prestar el libro apenas termine de leerlo.
I'll never tell anyone where I've hidden the treasure.,Nunca le diré a nadie dónde he escondido el tesoro.
"I'm a determined man. When I want something, I get it.","Soy un hombre determinado. Cuando quiero algo, lo consigo."
I'm afraid that we won't be able to help you tomorrow.,Me temo que no podremos ayudarte mañana.
I'm afraid you'll have to learn to live with the pain.,Me temo que tendrás que aprender a vivir con el dolor.
I'm planning to read as many books as I can this year.,Este año pienso leer todos los libros que pueda.
I'm pretty sure we should've taken a right back there.,Estoy bastante seguro de que deberíamos haber dado un giro a la derecha allí.
I'm probably the only person who can help you do that.,Soy probablemente la única persona que te puede ayudar a hacer eso.
I'm probably the only person who can help you do that.,Probablemente sea yo la única persona que te pueda ayudar a hacer eso.
I'm the only one who was able to do that without help.,Soy el único que podía hacer eso sin ayuda.
I'm the only one who was able to do that without help.,Soy la única que podía hacer eso sin ayuda.
I've got a hunch something might be happening tonight.,Tengo un presentimiento de que algo quizás podría ocurrir esta noche.
I've lost my fountain pen. I have to buy one tomorrow.,He perdido mi pluma fuente. Tendré que comprarme una mañana.
"If I had been rich, I would have given you some money.","Si hubiera sido rico, os habría dado dinero."
"If I had been rich, I would have given you some money.","Si hubiera sido rico, te habría dado dinero."
"If I had the money, I would often go out and have fun.","Si tuviera dinero, saldría seguido y me divertiría."
"If I say there's nothing wrong, there's nothing wrong.","Si le digo que no hay problema, es que no hay problema."
"If I were to tell you all I know, you would be amazed.","Si yo te dijera todo lo que sé, te sorprenderías."
"If he had insulted me, I would have given him a shove.","Si me hubiera insultado, le habría dado un empujón."
"If it rains the day after tomorrow, I'll stay at home.","Si llueve pasado mañana, me quedaré en casa."
"If the weather is fine, I'll go swimming in the river.","Si hace buen tiempo, voy a ir a nadar al río."
"If we leave early, we can avoid the rush hour traffic.","Si salimos pronto, podemos evitar el tráfico de la hora punta."
"If we leave early, we can avoid the rush hour traffic.","Si salimos temprano, podemos evitar el tráfico de la hora punta."
"If we leave early, we can avoid the rush hour traffic.","Si nos vamos temprano, podemos evitar el tráfico de la hora punta."
"If you ate fewer burgers, you'd probably be healthier.","Si comieras menos hamburguesas, probablemente estarías más sano."
"If you could only speak English, you would be perfect.","Si tan solo pudieras hablar inglés, serías perfecto."
"If you don't have anything to say, don't say anything.","Si no tenés nada que decir, no digas nada."
"If you don't want to be alone, I can keep you company.","Si no quieres estar solo, puedo hacerte compañía."
"If you don't want to do it for Tom, then do it for me.","Si no quieres hacerlo por Tom, hazlo por mí."
"If you don't want to go there, then we won't go there.","Si no quieres ir ahí, entonces nosotros no iremos ahí."
"If you fail this class, you won't be able to graduate.","Si repruebas esta asignatura, no te vas a poder licenciar."
"If you go out so lightly dressed, you'll catch a cold.","Si salís tan descubierto, te vas a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si salís tan descubierta, te vas a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si salís tan desabrigado, te vas a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si salís tan desabrigada, te vas a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si sales tan descubierto, te vas a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si sales tan descubierta, te vas a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si sale tan desabrigado, se va a resfriar."
"If you go out so lightly dressed, you'll catch a cold.","Si sale tan desabrigada, se va a resfriar."
"If you had a time machine, which year would you visit?","Si tuvieras una máquina del tiempo, ¿qué año visitarías?"
"If you have something to say, say it now or pipe down.","Si tienes algo que decir, dilo ahora o cierra la boca."
"If you keep eating like that, you're going to get fat.","Si sigues comiendo tanto, vas a engordar."
"If you need more information, we are happy to send it.","Si necesita más información, estaremos encantados de enviársela."
"If you really want to know, all you have to do is ask.","Si realmente quieres saber sobre eso, todo lo que tienes que hacer es preguntar."
"If you really want to know, all you have to do is ask.","Si realmente quieres saber, solo debes preguntar."
"If you really want to know, all you need to do is ask.","Si realmente quieres saber, todo lo que tienes que hacer es preguntar."
"If you think it'll make you happy, go ahead and do it.","Si crees que te va a hacer feliz, ve y hazlo."
"If you want me to kiss you, all you have to do is ask.","Si quieres que te bese, solo tienes que pedírmelo."
"If you're not in a hurry, please stay a little longer.","Si no estás apurado, quedate un poco más, por favor."
"If your child drinks poison, rush him to the hospital.","Si tu hijo bebe veneno, llévalo rápidamente al hospital."
"In my city, there is no school for learning Esperanto.",No hay una escuela para aprender esperanto en mi ciudad.
In the beginning God created the heaven and the earth.,En el principio creó Dios los cielos y la tierra.
In the beginning God created the heaven and the earth.,En el principio Dios creó los cielos y la tierra.
Intuition is a voice that lives within each one of us.,La intuición es una voz que vive dentro de cada uno de nosotros.
It has been found that smoking is bad for your health.,Se ha descubierto que fumar es malo para la salud.
It is absolutely necessary that you be at the meeting.,Es absolutamente necesario que estés en la reunión.
It is impossible for me to finish the work in an hour.,Me va a resultar imposible terminar el trabajo en una hora.
It is impossible for me to finish the work in an hour.,Me resulta imposible acabar el trabajo en una hora.
It is silly of me to have made the same mistake twice.,Fue tonto de mi parte haber cometido dos veces el mismo error.
It is very kind of you to send me such a nice present.,Es muy lindo de tu parte que me mandes un obsequio tan lindo.
It occurred to me that I had left my bag on the train.,Me di cuenta que había dejado mi bolso en el tren.
It seems to me that the pictures speak for themselves.,A mi parecer las imágenes hablan por sí solas.
It took the police a lot of time to get to the island.,Le tomó mucho tiempo a la policía para llegar a la isla.
It was almost impossible to get around on that street.,Era casi imposible circular por esa calle.
It was hard to resist the impulse to wring Tom's neck.,Era difícil resistir el impulso de retorcerle el cuello a Tom.
It will be three months before our house is completed.,Tardará tres meses antes de que nuestra casa esté lista.
It will not be long before man can travel to the moon.,No pasará mucho tiempo antes de que el hombre pueda viajar a la luna.
It would be nice to spend the summer in the mountains.,Sería bueno pasar el verano en las montañas.
It's been a while since I've told you that I love you.,Hace tiempo que no te digo que te quiero.
It's been three years since I started to study French.,Han pasado tres años desde que empecé a aprender francés.
It's getting late and I have to get up early tomorrow.,Se está haciendo tarde y mañana tengo que madrugar.
It's pity that nobody came to meet you at the station.,Qué pena que nadie haya venido a la estación a recibirte.
It's quite difficult to master French in 2 or 3 years.,"Es bastante difícil dominar el francés en 2, 3 años."
It's so difficult that I've decided to give up trying.,Es tan difícil que decidí dar por vencidos mis intentos.
Italy has some of the best art galleries in the world.,Italia tiene algunas de las mejores galerías de arte del mundo.
John was born in a hospital and he died in a hospital.,John nació en un hospital y murió en un hospital.
John went back to work after a two-week hospital stay.,John volvió al trabajo después de estar hospitalizado dos semanas.
"Judging from the look of the sky, it's likely to rain.","Por el aspecto del cielo, parece que va a llover."
"Judging from what you say, he must be a great scholar.","A juzgar por lo que dices, el debe ser un gran erudito."
Keep in mind that smoking is not good for your health.,Ten en cuenta que fumar no es bueno para tu salud.
Let's not make any hasty decisions. Let's sleep on it.,No tomemos una decisión precipitada. Consultémoslo con la almohada.
Listen carefully and do exactly what I tell you to do.,Escucha atentamente y haz exactamente lo que te diga.
Look to the left and right before crossing the street.,Mira a la izquierda y a la derecha antes de cruzar la calle.
Make sure to turn off all the lights before going out.,Asegúrate de apagar todas las luces antes de salir.
Many families left to make a new life on the frontier.,Muchas familias se mudaron para comenzar una nueva vida en la frontera.
Many kinds of flowers come out in the middle of April.,Muchos tipos de flores salen en la mitad de Abril.
Many kinds of flowers come out in the middle of April.,Salen muchos tipos de flores a mediados de abril.
Many people prefer to cook with butter instead of oil.,Muchas personas prefieren cocinar con mantequilla en lugar de aceite.
Mary can't come. She has to take care of her daughter.,Mary no puede venir. Tiene que cuidar a su hija.
Mary had a little lamb whose fleece was white as snow.,María tenía un cordero cuya lana era blanca como la nieve.
"Mary said that she loved me, but I didn't believe her.","Mary dijo que me amaba, pero no le creí."
"Mary said that she loved me, but I didn't believe her.","María dijo que me amaba, pero no le creí."
"Mary said that she loved me, but I didn't believe her.","Mary dijo que me amaba, pero no me lo creí."
Mary's dream of going abroad finally became a reality.,El sueño de María de viajar al extranjero finalmente se realizó.
Mary's dream of going abroad finally became a reality.,El sueño de Mary de ir al extranjero finalmente se hizo realidad.
More than 40 percent of the students go to university.,Más del 40% de los estudiantes van a la universidad.
Most of the people working here are unpaid volunteers.,La mayoría de las personas que trabajan aquí son voluntarios.
My doctor has advised me to stop taking this medicine.,Mi médico me ha aconsejado dejar de tomar este medicamento.
My father took out his wallet and gave me ten dollars.,Mi padre sacó la billetera y me dio diez dólares.
My husband reads the newspaper while eating breakfast.,Mi marido lee el diario mientras desayuna.
My mother insists that I should not go out after dark.,Mi madre insiste en que no salga después de que oscurezca.
My parents told me that we should respect the elderly.,Mis padres me decían que debemos respetar a los mayores.
My phone has a caller ID that lets me screen my calls.,Mi teléfono tiene un identificador de llamadas que me permite filtrarlas.
My school is about ten minutes' walk from the station.,Mi colegio está a unos diez minutos a pie de la estación.
My uncle lived a happy life and died a peaceful death.,Mi tío tuvo una vida feliz y murió pacíficamente.
My youngest brother was brought up by our grandmother.,A mi hermano menor lo crió nuestra abuela.
"Needless to say, health is more important than wealth.",No hace falta decir que la salud es más importante que la riqueza.
"Next time, you should wear something more appropriate.","La próxima vez, deberías usar algo más apropiado."
"No matter how hard she tried, she couldn't please him.",Ella no podía complacerlo por más que intentara.
"No matter how you do it, the results will be the same.","No importa cómo lo hagas, los resultados serán los mismos."
"No matter how you do it, the results will be the same.","No importa cómo lo hagas, el resultado será el mismo."
No one can force you to do anything against your will.,Nadie puede obligarte a hacer algo contra tu voluntad.
No sooner had Tom turned on the TV than the fuse blew.,"Tan pronto como Tom encendió la tele, se quemó el fusible."
Nothing we have done today has gone according to plan.,Nada de lo que hemos hecho hoy ha salido como lo planeamos.
Older people still remember the Kennedy assassination.,La gente mayor todavía recuerda el asesinato de Kennedy.
One good thing about winter is there are no mosquitos.,Lo bueno del invierno es que no hay mosquitos.
One of Tom's friends was killed in a traffic accident.,Uno de los amigos de Tom murió en un accidente de tránsito.
"One of the magazines is for boys, the other for girls.",Una de las revistas es para los chicos y la otra para las chicas.
One of the students raised his hand to ask a question.,Uno de los estudiantes levantó la mano para hacer una pregunta.
Our car was fast and soon got ahead of the other cars.,Nuestro coche fue rápido y pronto se puso por delante de los otros coches.
Paraguay achieved its independence from Spain in 1811.,Paraguay logró su independencia de España en 1811.
People who talk about themselves all the time bore me.,La gente que siempre habla de sí misma me aburre.
People who talk about themselves all the time bore me.,La gente que habla de sí misma todo el tiempo me aburre.
Perhaps we should go to Boston next week to visit Tom.,Tal vez deberíamos ir a Boston la próxima semana a visitar a Tom.
"Perseverance, it is often said, is the key to success.",Se dice a menudo que la perseverancia es la clave del éxito.
Philosophy is not a thing one can learn in six months.,La filosofía no es algo que se pueda aprender en seis meses.
Please give me some kind of medicine to curb the pain.,"Por favor, dame alguna medicina para frenar el dolor."
Please replace the empty ink cartridge in the printer.,Por favor reemplace el cartucho de tinta vacío de la impresora.
Please take off all of your clothes from the waist up.,"Por favor, quítate toda la ropa de cintura para arriba."
Please wait until I have finished writing this letter.,"Por favor, espérese hasta que haya acabado de escribir esta carta."
"Put the box wherever you can find room for it, please.","Pon la caja dondequiera que le encuentres espacio, por favor."
Salmon go up the river and lay their eggs in the sand.,El salmón va río arriba y pone sus huevos en la arena.
Salt was a rare and costly commodity in ancient times.,Antiguamente la sal era una comodidad rara y costosa.
"Seen at a distance, the rock looked like a human face.","Vista a lo lejos, la roca se parecía a un rostro humano."
"Seen from the sky, the river looked like a huge snake.","Visto desde el cielo, el río se parecía a una enorme serpiente."
She advised him to go abroad while he was still young.,Le aconsejó que fuera al extranjero mientras aún era joven.
"She asked him why he was crying, but he didn't answer.","Ella le preguntó por qué lloraba, pero él no respondió."
She began doing her homework immediately after dinner.,Ella empezó a hacer su tarea inmediatamente después de la cena.
"She didn't show up at the party, but nobody knows why.","Ella no vino a la fiesta, pero nadie sabe por qué."
She felt so humiliated that she couldn't say anything.,Ella se sintió tan humillada que no podía decir ninguna cosa.
She gave birth to her first child at twenty years old.,Ella dio luz a su primer hijo a los veinte años de edad.
She gave birth to her first child at twenty years old.,Ella dio a luz a su primer hijo a sus veinte años.
She gave birth to her first child at twenty years old.,Ella dio a luz a su primer hijo a los veinte años.
She got up and left in the middle of our conversation.,Ella se levantó y se fue a la mitad de nuestra conversación.
She had changed so much that I couldn't recognize her.,Ella cambió tanto que no la reconocí.
She had no sooner read his letter than she tore it up.,Rompió la carta en cuanto la leyó.
She had no sooner read his letter than she tore it up.,En cuanto leyó la carta la rompió.
She had to study hard to catch up with her classmates.,Tuvo que estudiar mucho para ponerse al día con sus compañeros de clase.
She has a tendency to look on the dark side of things.,Ella tiende a ser pesimista.
She is accustomed to doing her homework before dinner.,Ella comúnmente hace sus tareas antes de cenar.
She is not in the least worried about her test scores.,Ella no está preocupada en lo más mínimo por su puntaje en la prueba.
"She is not pretty, to be sure, but she is very clever.","Sin duda ella no es bonita, pero es muy inteligente."
She lives in the same house her grandparents lived in.,Ella mora en la misma casa en la que vivieron sus abuelos.
She looked as though she had seen me somewhere before.,Ella parecía como si me hubiera visto de alguna parte antes.
She showed me a picture of her mother as a schoolgirl.,Ella me enseñó una foto de su madre de pequeña como alumna.
She stood there even after the train was out of sight.,Ella se quedó plantada allí incluso después de que el tren no se viera a lo lejos.
"She told him a joke, but he didn't think it was funny.","Ella le contó un chiste, pero a él no le pareció gracioso."
She turned her face away so he wouldn't see her tears.,Ella giró la cabeza para que él no viera sus lágrimas.
"She visits him quite often, but never stays very long.","Ella lo visita muy a menudo, pero nunca se queda por mucho tiempo."
She warned the children against playing in the street.,Ella advirtió a los niños de que no jugasen en la calle.
She was cleaning the house in preparation for a party.,Ella estaba limpiando la casa en preparación para la fiesta.
She will not budge an inch no matter what anyone says.,Ella no cederá una pulgada sin importar lo que cualquiera diga.
"Since I don't have a job, I get unemployment benefits.","Como no tengo trabajo, me pagan el desempleo."
Slavery has been abolished in most parts of the world.,La esclavitud está abolida en casi todas las regiones del mundo.
Some people see a conspiracy behind almost everything.,Algunas personas ven una conspiración detrás de casi cualquier cosa.
Some people seem to always want to have the last word.,Algunas personas parecen querer tener siempre la última palabra.
Some politicians never make good on campaign promises.,Algunos políticos nunca cumplen sus promesas de campaña electoral.
Some things in life are beyond our ability to control.,Algunas cosas en la vida están más allá de nuestro control.
"Someone stabbed Tom with an ice pick, but he's OK now.","Alguien apuñaló a Tom con un pica hielo, pero ya está bien."
Someone who knows English well must have written this.,Alguien que sabe bien inglés debió haberlo escrito.
Someone who knows English well must have written this.,Alguien que sabe bien inglés debe haberlo escrito.
Students are forbidden to smoke on the school grounds.,A los estudiantes se les prohíbe fumar en el recinto de la escuela.
Tell Tom I want to see him first thing in the morning.,Dile a Tom que quiero verlo mañana a primera hora.
That day proved to be the turning point in his career.,Aquel día resultó ser un punto crucial en su carrera.
That kid was almost run over when the truck backed up.,El camión casi atropelló al niño al dar marcha atrás.
That's not the main reason that Tom needed to do that.,Ese no es el motivo principal por el que Tom necesita hacer eso.
That's the most important thing I've learned from you.,Esa es la cosa más importante que he aprendido de ti.
"The Great Wall of China is more than 5,500 miles long.","La Gran Muralla China tiene más de 5,500 millas de largo."
"The Great Wall of China is more than 5,500 miles long.",La Gran Muralla China es de más de 5.500 millas de largo.
The Industrial Revolution took place first in England.,La Revolución Industrial en un comienzo tuvo lugar en Inglaterra.
The atmosphere mostly consists of nitrogen and oxygen.,La atmósfera se compone en su mayor parte de nitrógeno y oxígeno.
The beaches in Hawaii are famous for their huge waves.,Las playas de Hawái son famosas por sus enormes olas.
The bed I slept in last night wasn't very comfortable.,La cama en la que dormí ayer no era muy confortable.
The boy broke the window with a baseball last weekend.,El niño rompió la ventana con una pelota de béisbol el fin de semana pasado.
The boy caressed the girl's chin and kissed her cheek.,El niño acarició a la niña en el mentón y la besó en la mejilla.
The boy dyed his hair because he wanted to be noticed.,El chico se tiñó el pelo porque quería llamar la atención.
The bus will arrive at the station in fifteen minutes.,El autobús llegará a la estación en quince minutos.
The catapult hurled the boulder over the castle walls.,La catapulta arrojó la roca hasta los muros del castillo.
The children were playing in the middle of the street.,Los niños jugaban en el medio de la calle.
The circus has a wonderful collection of wild animals.,En el circo tienen una magnífica colección de fieras.
The constitution was amended so that women could vote.,La constitución fue enmendada para que las mujeres pudieran votar.
The delegates voted ninety-five times without success.,Los delegados votaron noventa y cinco veces sin éxito.
The factory produces thousands of bottles every month.,La fábrica produce miles de botellas al mes.
The financial situation is getting worse week by week.,La situación financiera está empeorando semana a semana.
The fine arts flourished in Italy in the 15th century.,Las bellas artes florecieron en Italia en el siglo XV.
The first thing we do when we get up is eat breakfast.,Lo primero que hacemos al levantarnos es desayunar.
The flood was the greatest disaster they had ever had.,La inundación fue la peor catástrofe que jamás hayan tenido.
The garden is full of very beautiful flowers all year.,El jardín está lleno de flores muy bonitas durante todo el año.
