pregunta,respuesta
What was Novak's 3-point percentage at the end of the 2011-12 season?,47.2%
How many points did Cunningham score in an upset win against Baylor in 2021?,25
How tall is Deron Williams PG?,6 ft 3 in
Who was named the Finals MVP?,Duncan
Who did Russell alienate?,Celtics fans
Where is the Big 12 Tournament held?,"Kansas City, MO"
What was Cawood Ledford better known as?,the longtime voice of the University of Kentucky Wildcats
What was the first round score of the playoffs?,Game 7
What did he often draw offensive fouls from?,his opponent
How many career points did Estes have in a home win over the University of Denver?,"2,000"
How many points and 2.5 assists did Deng average during the season?,14.1
What is the Rookie of the Year?,Dondon Ampalayo
What is the name of the Mercer Bears school?,Mercer University
What did the occupants of the bus not hear?,the train whistle and ringing bell
Why did the tournament rotate out of Los Angeles?,the train whistle and ringing bell
In what state was he a lumber trader?,Oregon
Who was criticized for trading reserve forward Bob Boozer at mid-season?,Coach Jack McMahon
What was the margin of victory in the second half?,71-40
How many years was Zaza a member of the NBA team?,16
"How many points was he able to score for the Bucks on February 4, 2012?",21
When was Wings held?,"June 10, 1976"
"On March 25, 2002, Howard scored his 10,000th career point against what team?",New York Knicks
What was Gasol's 30th rebound in NBA history?,"10,817"
When was Smith traded to the Oklahoma City Thunder?,"August 13, 2008"
What was the name of the wrestling venue that was often used by World Class Championship Wrestling in the 1980s?,Reunion
How many Big Ten Tournament appearances does Michigan have in the championship game?,thirteen
What team returned to the playoffs after a year's absence?,Atlanta
What TV show did Rodman have?,The Rodman World Tour
When was McKie named NBA Sixth Man of the Year?,2000-01
How many points did the team have in the final quarter?,15
Where do young players from the English speaking world tend to attend before playing in the NBA?,U.S. colleges
How many games did McAdoo play for the Pistons in 1981?,six
On what date did Tre Mann set a Thunder rookie record?,"March 21, 2022"
How many games in four series did the Bulls lose in the playoffs?,three
How much money did Izod Center lose during Super Bowl XLVIII?,"$45,800"
What city did Pete Wilson give San Diego the name of?,"$45,800"
How many national titles has UCL won?,11
What was the first award given to the most outstanding player in the East coast conference?,Men's Basketball Player of the Year
In what year did Utah advance to the championship game?,1998
When was the Conference 5?,"1988, 1989, 1990, 2004, 2005"
What team won the second round of the 2008 NBA Draft?,Los Angeles Clippers
"Who was no match for the balanced, well-organized New Yorkers?",Johnson
When did the Dallas Chaparrals move to San Antonio?,1973
When would the 2-2-1-1-1 format return?,2014 NBA Finals
What is a criticism of iOS?,all the rookies having the same generic look
When was Parker selected as the October/November Eastern Conference Rookie of the Month?,November 19
When was Barnes traded to the Sacramento Kings?,"February 6, 2019"
What was the Timberwolves player of the month for November?,Towns
Who did Philadelphia draft to fill the void left at point guard?,Jrue Holiday
Who replaced White?,Justin Harper
What role did Terry relish during his time in Dallas?,fourth-quarter specialist
In what year was he a member of the U.S. men's Olympic basketball team?,1992
How many games did he play in in 14 seasons?,911
Where is N'Diaye?,Washington Wizards
How many times can a team duplicate a player?,12
Bagley led the Eagles to the regular-season championship and what?,NCAA Tournament's Sweet 16
Who replaced Griffin in the starting lineup?,LaMarcus Aldridge
How many assists did Head have in a game against Chicago Wells?,25
When did Dallmar join the Philadelphia Warriors?,1946
How much did the Magic give the Super Sonics in exchange for Lewis on July 20?,$9.5 million
Which team lost to the Wachovia Center in the National Championship Game?,UCLA
What was the weight of the Notre Dame G 15 Misaka?,150 lb
"What is the name of the Catholic college in Duluth, Minnesota?",The College of St. Scholastica
On what date was the Jazz's 2010 uniform released?,"August 16, 2010"
Which NBA Finals MVP was Rick Barry in 1975?,Andre Iguodala
What year was Lancaster Gordon born?,1962
What year did the college become the first National Champion?,1963
How many championship rings did John Salley win with three different NBA teams?,four
Which team easily defeated Virginia in the semifinals?,State
What injury forced Odom to miss the end of the 2004-05 season?,left shoulder
Who is 'The Wizard'?,Chris Javier Rob Johnson
How many rebounds was Perkins able to get in his 112-108 win against the Suns on April 6?,17
Who led the Pistons?,Isiah Thomas and Bill Laimbeer
Who was the director of player personnel?,Kevin Pritchard
Where did Livingston commit to play college hoops?,Duke
Who was the reigning MVP of the Denver Nuggets?,Nikola Jokić
Who are the organizations in the running for expansion?,Akita Ibaraki - Ibaraki Longhorns Chiba Kanagawa Nagano Nara Shimane Miyagi
What was the name of the state that was 93?,Appalachian State
When did the L.A. Lakers acquire 2005 and 2009 second round draft picks from Charlotte?,"December 6, 2004"
Why was Carter not named as a reserve for the 2008 NBA All-Star Game?,injuries
When did Walker sign a non-guaranteed deal?,"November 28, 2022"
What was Boston's second-best percentage of three-pointers?,58
What is the name of the college in 1995-96 East: College of Charleston?,Florida International
The Celtics advanced to the Eastern Conference finals for the third time in how many seasons?,four
What was Tracy Murray's contribution to the Washington Wizards?,10.0 ppg
What was the length of time he was ruled out for?,two-to-four weeks
How many regional finals did Kansas City's Municipal Auditorium host from 1940 to 1952?,13
How many times did the Connecticut Sun defeat the Houston Comets?,65-58
What was the name of the award given to the most valuable player?,65-58
Who was the number 3 shooting guard in the country by Rivals.com?,Elliot Williams
How many rebounds did he average?,5.5
Who was given little chance to recover from Game 6?,the defending champion Pistons
What was Andre's teammate's name?,Jon Scheyer
How many NCAA Tournaments have the Panthers appeared in?,six
What did Horry do with under three seconds to play to tie it at 2-2?,drained a game-winning three
Who did the Portland Trail Blazers 35 39.473 18.5 74 9 o?,Memphis Grizzlies
"How old is the person who died June 20, 2022 in Fort Wayne, Indiana?",25
How many seconds did Miller have to score in game one?,16.4
Where is the Gonzaga Chilis Center located?,"Portland, Oregon"
When did Bill Russell retire from the NBA?,"August 11, 2022"
What is the largest university in the Chicago area?,University of Illinois
What was the name of the home court that the Cavs played at?,Richfield Coliseum
Who was Bogues a teammate of in his rookie year?,Manute Bol
Who owned the Seattle Seahawks NFL team?,Paul Allen
Who was also fined?,Danny Ainge and Greg Kite
When was the first logo of the New York Knicks created?,1946-1964
Who was named the WCC Newcomer of the Year?,Mills
When did Dizzy sink the first 4-point shot in basketball history?,"Dec. 5, 2010"
Where is EnergySolutions headquartered?,Salt Lake City
Who won their second Slovenian championship?,Krka
When was Justin Williams called up by the Sacramento Kings?,"January 5, 2007"
"Bango's acrobatic layups, daring rebounds, and other entertaining antics continue to play an important role in what?",energizing Bucks fans at the Bradley Center
What percentage of the squad did he lead in scoring?,18.1
What team did the NBL create for the 1949-50 NBA season?,Indianapolis Olympians
Who was on the injured list until season's end?,Billups
How many of their home games did the Royals have to play against Boston?,two
Where is Omni Coliseum?,"Atlanta, Georgia"
When did Jacksonville State and Sam Houston start transitions to the FBS?,2022
In what year did the Boston Celtics win the NBA Finals?,1957
How many games did the garbage bag be scrapped after?,one
When was the University of Wisconsin founded?,1965
When did Williams start going over to the hospital?,not long after I got here
How many seconds did it take for the shot clock to start?,24
Who is an American basketball player who plays at Center?,24
What was Utah's average income in 2012-13?,78 78 33.1
What company employs the event technical employees?,Nasco Services
How many points did the Silver Stars have in Game 3?,14
What was the building officially renamed?,Great Western Forum
In what year did Irving launch his PSD Underwear collection?,2015
Who suffered a sprained MCL in his left knee?,Khris Middleton
Who was traded to the Milwaukee Bucks for Joe Alexander and Hakim Warrick?,John Salmons
When was he selected in the first round of the 2003 NBA Draft by the Denver Nuggets?,"June 26, 2003"
What did Mark Cuban set up?,a payment procedure for the hourly workers
What team did Lemons lose to in the final game of the season?,Baylor
"What team lost to the New Orleans Pelicans on February 22, 2019?",Los Angeles Clippers
What team rallied to trim Cleveland's lead as low as seven points on a couple occasions?,Golden State
When did her family convince her to play?,eighth grade
How many theaters are located in Manhattan?,two
When did he score a season-high 20 points and have six assists and seven rebounds in his first start since December 30?,"March 13, 2017"
What social networking platform does Salley work for?,BudTrader
In what year did Steve Ballmer buy The Forum?,2020
How many points did Stoudemire score for the Raptors in the regular season?,24
How many games did Müürsepp play for the Mavs before leaving the NBA?,73
Who returned to lead a more balanced cast in support of West?,Baylor
When did the Concrete Jungle stadium open?,"September 6, 1992"
How many expansion teams did the Philadelphia 76ers join in 1968?,2
When was Knight selected by the Sioux Falls Skyforce?,"October 23, 2021"
On what day did Cook sign with the Los Angeles Lakers?,"July 6, 2019"
How many games did the Lakers win in 1991-92?,43
What type of community had a nationally ranked basketball team in the early to mid-nineties?,Christian
What team did Rondo join in 2015?,Sacramento Kings
What team is Allen Iverson from?,Philadelphia 76ers
What was Brunson's career high against the Houston Rockets?,14 points
How many Rebounds does Chris Bosh have in Miami Heat?,15
How many of Ariza's points were 3-pointers?,eight
What is the name of the Connecticut standout?,Maya Moore
In what year did Congress come close to enacting legislation to enable a merger?,1972
What was the first career Western Conference Player of the Month honor?,October and November
What was Derrickson's weight?,249 lb
What is the name of the undrafted USC player?,David Wesley
Who played for the Georgia Tech Yellow Jackets?,Yvon Joseph
What kind of AI is the CPU supposed to have?,clock
How many points did Wade score in a 122-105 victory over the New York Knicks?,55
Which team was matched with Bryant and the Lakers?,Suns
What was the name of the team that eluded Alaska’s broom?,Alaska Aces
When was Mullaney hired as the head coach of the Los Angeles Lakers of the NBA?,Two years later
"What team defeated Quebradillas in the finals in 1972, 1973, and 75?",Bayamon Cowboys
What is the name of the women's basketball championship hosted by HP Pavilion?,Pac-10
When did the Charlotte Bobcats begin playing?,2004
How many times had he been undefeated as a captain prior to the game?,5-0
Who could be the steal of the draft with his talent and potential?,Randolph
When did Irving return to action?,"January 12, 2020"
What album was released in 1982?,Still Life
How many blocks did Nesterovic get per contest?,1.0
What was the record of the Celtics in the Eastern Conference playoffs?,40-42
What was Crawford's record in the Clippers' history?,57-25
"On what date did the Chicago Bulls trade Derrick Rose, Justin Holiday, 2017 first-round and second-round draft picks to the New York Knicks?","June 22, 2016"
Who did the Cavs send to the arena in 1997?,"Bobby Phills, and forward Chris Mills"
What was his 22nd career career?,triple-double
How many consecutive free throws were made in a game?,23
What was his highest score with the Nets?,23
How many points did the GB Philadelphia 76ers C score?,68 13 .840
What year did the Orlando Magic take on Paolo Banchero?,2022
What can sometimes lead to confusion about what name to use in English?,many variants may be seen
What team picked Conley as the fourth pick?,Memphis Grizzlies
How many wins did the Nuggets have in a season for the first time since 1987-88?,50
How many points did Corey make in a 114-112 win over the Oklahoma City Thunder?,20
Which nephew of Wallace's is a professional basketball player?,Quadir Welton
What year was Racing Paris 1 1997 Strasbourg 1 2005 Le Mans 1 2006 Roanne 1 2007 Cholet 1 2010?,2011
Who was named to his first All-Star game as a reserve?,Anthony Mason
How many straight home court wins did the Jayhawks break?,62
What injury caused Bamba to miss the rest of the season?,stress fracture
Where did Duncan play?,Wake Forest
Which team traded Olyonyk for the rights to Lucas Nogueira?,Boston Celtics
"What team traded Gasol for C.J. Miles, Jonas Valaninas, Delon Wright, and a 2024 second-round draft pick?",Toronto Raptors
What team quickly won game two in a rout?,The Spurs
What team made the second round of the playoffs for the first time in franchise history?,Toronto Raptors
What was the name of the statue that stood in front of the pyramid?,Ramesses the Great
How many points did he score in Game 5?,22
Who is a Heisman Trophy candidate?,Ray Rice
What was created to fund the Midwest Airlines Center?,Wisconsin Center District
How many games of the season did Detroit's overtime win over the Piston's set a franchise record?,64th
Which two NBA players retired in 1990?,Bird or Johnson
Who replaced Chamberlain?,Mel Counts
What was the weight of San Francisco C 8 Cavenall's weight?,230 lb
For how many seasons was Adrian Smith with the Cincinnati Royals?,8
How many points did Webber average in his first year?,17.5
What was the name of the player who was suspended for PED?,Wilson Chandler
How many team records did he set or match?,several
Where did the team practice before moving to Fort Mill?,Grady Cole Center
What was Luka Doni's average triple-double?,30-point
Who were the two head coaches in the NHL?,Scotty Bowman
How many points did neither team lead in the first half?,3
What was Paul Westhead's job title?,assistant
In what year did the ABA-NBA merger occur?,1976
How many games did the 6th-seeded Warriors defeat the 3rd-Seeded Nuggets in?,six
On what day did the Grizlies announce they would bring back Tollivers for the restart of the 2020 NBA season?,June 22
By what year did the divisions resume fielding all of their pre-Katrina sports in 2011?,2011
What is the name of the annual NBA D-League Showcase?,AnchorD-League Showcase
Who were the backup Forwards?,Rick Mahorn and John Salley
What team did the Mavericks defeat in the first round of the All-Star Game?,Portland Trail Blazers
What was one goal of the lockout?,to give small-market teams a chance to keep their players
What was the name of the first-team player in 1963?,Robert Gruen
Who is the Dallas Mavericks' draft rights to?,Tadija Dragićević
When was Steve Antrim 10-18?,1989-1990
How many players did the Blazer trade him for?,"Zach Randolph, Fred Jones, and Dan Dickau"
When was the National Championship played?,April 6
"How much weight is Shelton, Lonnie?",240 lb
"When is the opening round game in Dayton, Ohio?",March 18
How much did the NBA fine Williams for cursing at fans?,"$15,000"
Who took over the head coaching responsibilities after Brown left the team?,Isiah Thomas
What is the name of the retired American professional basketball player?,Curtis Kitchen
At what university did she play college basketball?,University of Oklahoma
When was James selected first by the Cleveland Cavaliers?,2003
How many postseason appearances did the team make between 1952-53 and 1969-70?,two
How many Gаrnett were on their 2009-10 season roster? How many Rondo were in their 2009/10 season rosters?,9
When did the Magic finally find their footing?,March
The media credited their feud as one of the motivators for what?,the trade
What was the Mercury's winning record for the first time since 2000?,18-16
What is the name of the athletics-recreation center in Wisconsin?,Green Bay Resch Center
How many minutes of action was he playing off the bench?,23
How many Chesapeake Energy Arenas are in Oklahoma City?,105
When did Anderson announce her retirement from professional basketball?,"October 6, 2009"
How old was he when he was born?,20
When did Abdul-Jabbar announce he no longer wanted to play for the Bucks?,When the season ended
When did highpoint win a National Championship?,1957
"What was the suspension for Beverly on July 3, 2021 for?",pushing Chris Paul
What conference does UTA join?,WAC
How many games had the #7 seed gone 0-23 in before the 2009 season?,games against the #2 overall seed
Where is the San Antonio Spurs based?,"San Antonio, Texas"
At what age did Stojakovi acquire full Greek citizenship?,17
On what date did the Timberwolves receive the first overall pick in the 2015 NBA draft?,May 19
How many times did he win the NBA scoring title?,four
What was Burke one of 10 finalist for after the school year?,Sports Illustrated College Athlete of the Year
When was Bias selected by the Boston Celtics?,1986
How much did Babcock pay for the remainder of Carter's contract?,$10 million
In what year did the Hawks draft Bob Pettit?,1954
How many years as a head coach in the National Basketball Association?,two
What school did Pete attend?,Needham B. Broughton High School
"After a 3-1 start, how many games lost?",21
Which game ended their streak and ensured that they would not be eliminated from the first round?,Game 4
What team won the 1971 NBA championship?,Los Angeles Lakers
What did television entertainers ask the public to pray for?,Ramos
How many other first round selections did the Cavs have?,two
Where does the men's basketball team play all of their home games?,Greensboro Coliseum
Who was traded in exchange for Garrett Temple?,McLemore
Who wins tie from team not leading a division Head-to-head record Division record (if all teams are in the same division)?,Division leader
How many points did Becky Hammon have?,35
What offense limited Payton's ball-handling and post-up opportunities?,triangle offense
"What team did the Jazz beat on January 14, 1986?",Houston Rockets
What was the last time that the Super Sonics would make the playoffs? Who was the head coach of the 2005 Super Sonics in the off-season?,Nate McMillan
When did the Bobcats make a magical run to reach the Big Dance?,March
How many free throws did Kanyon West make at an 82% clip?,647
What team record did Harris help the Mavs to a team record of?,67 wins
When did Jaworski and Fernandez have a feud?,1984
In what league did he win his fifth MVP award?,NBA
What was the name of the college that became Trinity college?,Duke University
When was Diaw named the NBA's Most Improved Player?,2006
What was the name of the businessman who bought the team?,Harry T
Which team won the first and third games?,Knicks
How many points did Carlos Sayon score in the win?,30
When did he pass away?,"June 1, 2016"
"When did Czyz transfer to the University of Nevada, Reno?",mid-season
What was he named after his sophomore year?,Pac-10 Player of the Year
Who is coached by Dan Monson?,The 49ers
What competition is similar to the Top 16 phase of the Turkish Airlines Euroleague?,Last 16
How many games were decided in the last minute?,Five out of the seven
When did Nebraska defeat Oregon 88-79?,"December 15, 2007"
When did the Houston Rockets meet the Houston Blazers?,"February 14, 1995"
What time was Game 6 shown in all but four US cities?,11:30 pm Eastern
Who draft Brown in 2001?,Washington Wizards
What color is the Chicago Bulls jersey?,red
Who was voted to the All-SEC Freshman team?,Douglas
Who sanctioned Michigan Wolverines men's basketball by forfeiting many of its records and accomplishments from 1992 to 1998?,the NCAA
Who did the Lakers face in the playoffs?,Phoenix Suns
When did the New Jersey Nets appoint Kiki Vandeweghe as their interim head coach?,December 1
How many years did Michael Jordan play for the Chicago Bulls?,6
What former Peacocks player donated the right to name the arena?,Thomas Mac Mahon
How many games did the Pistons win to advance to the Finals?,six
When did The Dream receive Dallas' third-round pick in the 2020 WNBA draft?,"May 16, 2019"
How did the Hoyas finish in the Big East in Ewing's third season?,5-13
Where is the Northern Iowa UNI-Dome located?,"Cedar Falls, Iowa"
When did Rudy Hatfield return to the country?,In the Fiesta Conference
How many points did Twyman average per game for a full season?,30
"Along with the Ringling Brothers and Barnum and Bailey Circus, what is another minor league event held at the Arena annually?",PlayStation Pro event on the Dew Action Sports Tour
When did Thomas sign with the Washington Wizards?,July 2019
What did the trustees affirm?,July 2019
What was the name of the original Caterpillar dealership that Bill Holt started in 1933?,"Holt Machinery Co.,"
Who was the new owner of the Cleveland Cavaliers?,Dan Gilbert
Who is a basketball coach in Valencia?,Rimas Kurtinaitis
How much did the construction cost?,$7
How many NCAA national tournament titles did the U.S. win in 1982 and 1993?,two
What is the name of the organization that gives middle school children a positive influence on their lives?,Dawn Staley Foundation
When did Evan Turner graduate from Ohio State?,2010
What was Olumide Oyedeji's dunk percentage in 2004?,140
How many time All-NBA Selections have been made?,11
What team lost to Indiana in the final?,Syracuse
What was Bogans' average per game?,"6.8 points, 4.3 rebounds, and 2.9 assists"
Who led the Leopards to back-to-back Patriot League championships and NCAA Tournament appearances in 1999 and 2000?,"6.8 points, 4.3 rebounds, and 2.9 assists"
Who was selected in the second round of the common era draft?,Jokić
Who was the WNBA player for the Houston Comets in 1967?,Kim Perrot
How many NBA players combined to average at least 21 points?,three
What team did the 76ers beat in the series?,Warriors
Where does Horry live?,Houston
What was West's career-best point average in 1965?,31.3
Who was the 1997-1998 ABL Defensive Player of the Year?,Griffith
What was Minnesota's official record from 1993-94 to 1998-99?,0-0
How many floors above the performance gym does the Beck Center sit?,one
Which team advanced to the semifinals?,Sixers
How many in the NIT were there?,four
"What team traded Rondo for Jae Crowder, Jameer Nelson, Brandan Wright and Dwight Powell?",Dallas Mavericks
What was the score of he's career-high 29 points for Kentucky?,70-66
Who won the 2016 PBA Governors' Cup?,Brownlee
Who is the publisher?,Dave Lewis Dennis Page
Willie Veasley hit a 3-point shot that bounced high off the rim before hitting what?,the backboard
How much field goal percentage did Barkley have in his career?,13%
Who coached for one season at K-State in 2006?,Bob Huggins
How many years was Jones a letterman at American High School?,four
What is his younger brother's name?,Aren
Where is American Airlines Center located?,"Victory Park neighborhood in downtown Dallas, Texas"
When did the rivalry between the San Antonio Spurs and the Phoenix Suns begin?,1990s
What was Carter's father's name?,Vincent Carter Sr
On what date did the Trail Blazers clinch the 8th seed?,"August 15, 2020"
Where do the Seminoles play all of their home games?,Donald L. Tucker Center
When did the Owls move to Division I?,1993-2005
When was the Champions Season Champions 2010-11 CSKA Moscow?,8 October 2010
What was the name of the roller hockey team that played at the Coliseum from 1993 to 1995?,Oakland Skates
Where did Barnes come from?,Florida State
How many people attended Wake Forest in 2009-10?,31 30 31
"What is the name of the University Arena located in Muncie, IN?",Worthen Arena
How many three-point field goals are there in a game?,2
What was Chicago's league-best record?,69-13
How many points did the Nets score in one season in 2006-07?,"2,070"
How many games did the team lose at Haas Pavilion?,one
How many points did Monroe average in his three games with the Knicks in 1971-1972?,21.7
How many games did the Pistons lose in the first two rounds of the NBA Finals?,7
What caused the Pistons to rent the Joe Louis Arena for the rest of the season?,a roof collapse
Where are the member institutions of The Valley?,"Illinois, Indiana, Iowa, Kentucky, Missouri, and Tennessee"
In what year did he coach the Wildcats to their fifth NCAA Men's Division I Basketball Championship?,1978
What team failed to make the playoffs yet again?,Lakers
How did the Gators start their 2005-06 season?,unranked
Which team had the fourth best East record?,Cleveland Cavaliers
In what year did Shumpert win season 30 of Dancing with the Stars?,2021
Who was named ACC Rookie of the Year in 1986?,Meier
What is the name of the French Stampede that is based in Idaho?,ASVEL Villeurbanne
What are the first two teams to make it to the final?,San Antonio Spurs and the Indiana Pacers
What was his average averaging in 2005-06?,14
When was the Dale Brown era?,1972-1997
What was Sterling's claim that the NBA violated?,antitrust laws and his constitutional rights
In which year did Memphis play home games in the FedExForum?,2004
What team did Los Angeles defeat in the first round?,Memphis Grizzlies
How many assists did Lillard have for his career?,"1,500"
What was Russell's rookie contract worth in 1956?,"$24,000"
What is Delfino's net salary per year?,€2.83 million euros
Who was the Cougars coach at the University of Houston?,Guy Lewis
How much did the Lakers pay to waive him?,$1.75 million
What is located behind a statue of the Blackhawks greatest players?,A plaque with the words Chicago Stadium - 1929-1994 - Remember The Roar
How many years did Gwangju Goldbank Clickers exist?,1999-2000
What hospital did he work for?,Saint Jude Children's Research Hospital
How many teams are grouped in four groups in the preliminary stages?,16
What was the building renamed after the heirs to the Bradley fortune gave their approval?,BMO Harris Bradley Center
Who owned the Oaks?,Pat Boone
When was Cheryl Reeve born?,"September 20, 1966"
How many special uniforms were unveiled in the 2015/16 season?,two
What was the title of the 2006 Iranian Super League?,3rd place
When was Wallace traded to the Hawks from the Lakers?,"February 9, 2004"
Who was Green's neighbor?,David Gorcyca
For what team did Donia play as a youth?,Union Olimpija
What state has a 40 8 25?,Minnesota
What was the name of the school that became Grambling College in 1946?,Grambling State
When was Tony Parker born?,2007
Who outplayed Wallace in the McDonald's Game?,Darnell Robinson
Who is Wilfred Steven Uytengsu?,"Treasurer, General Milling Corp.)"
What are the only schools that have never had a winning coach?,Miami (FL)[a] and Boston College
Who are his second cousins?,Gerald Green and Garlon Green
How many rebounds and four assists was he a part of in the 2007 NCAA Tournament?,10
In what year did ASU open in Montgomery?,1887
When did Noel decide he would go to the University of Kentucky to play NCAA Division I basketball?,April 2012
What was the record for the first two seasons of the Washington Bullets?,48-34
What was the eighth season of the Philippine Basketball Association?,1982
Who did Kidd successfully guard in the Western Conference Finals against the Oklahoma City Thunder?,Kobe Bryant
How many seasons had Lemons presided over the resurrection of Texas basketball?,six
In what year did Houston make the first of Drexeler's two straight Final Four appearances?,1982
Who was resting Leonard for more than 20 games?,Toronto Raptors
What team did Keith Herron play for?,Portland Trail Blazers
When did lyasova sign with the Utah Jazz?,"March 10, 2021"
How many teams were there in 1968?,16
In what year did Johnson's Lakers reach the NBA final?,1980
In what year did Wade lead the Heat to their first NBA championship?,2006
What was Kevin Durant's final Finals appearance until 2019?,2017
How many games did he play in his career?,77
What was the name of the team purchased in 1947?,Detroit Gems
Who was the head coach of the Stag in 1987?,Detroit Gems
Who is the current head coach of UNLV Men's Basketball?,Lon Kruger
Who was the #25 Joe Colone Gene Conley Bert Cook?,Mardy Collins
What did Mayo say if being a reserve hurt his value?,"I would say so, I would probably say so"
When did Lady Gaga open her world tour?,"November 7, 2017"
Who led the Bulls to four straight wins to once again defeat the New York Knicks?,Michael Jordan
In what year did the Cavaliers advance to the Eastern Conference Finals?,1992
How many members of the 50-40-90 club did he become a member of?,nine
What is Crowder known for?,good all around-play and his positional flexibility
How many Southwestern Athletic Conference NIT bids did Texas-Arlington receive in 1981?,9
When did Monroe become the first Celtics center to record a triple-double?,"March 29, 1987"
Who decided to assign Payton to play defense?,George Karl
What team did the Mavericks defeat in seven games?,Suns
Which two forwards reached the 1000 point mark in the 2007-08 season?,Juan Palacios and Terrence Williams
How many of WSU's 10 triple double games does Armstrong hold?,four
How tall was Chandler?,four
How many rebounds did Mikan pull down per game?,13.5
Who was the Western Conference champion in the 2010 NBA Finals?,Los Angeles Lakers
When did McGee make his competitive debut for the Nuggets?,December 23
How many starts was he in one year at Duke during one season?,32
What team took a 2-0 lead over the Phoenix Suns in the Western Conference Finals?,Lakers
How many of the Thunder's 81 games were in the starting five?,66
What award did Oklahoma win the first time?,John Wooden Award
When did Michael Jordan retire from the Chicago Bulls?,"March 19, 1995"
Where was the birthplace of AdolphAdolph Rupp born in 1948?,Kentucky Rupp
Who was the All-Star point guard for the Utah Jazz?,Deron Williams
Who beat the Celtics on a buzzer-beater in Game 4?,Johnson
What was the name of the arena's naming rights that expired in February 2011?,ARCO
Who won the next game by one point to win the series and advance to the Final Four?,Kentucky
Who was owner of the Seattle SuperSonics in 1970?,Sam Schulman
How many assists did the Cleveland Cavaliers have on April 10?,13
How many games does a team play per season?,41
How many seats does Rose Hill Gym have?,"3,470"
When did he score a season-high 19 points in a loss to the Washington Wizards?,"February 27, 2018"
What were the two lowest-seeded teams in each region ranked in 2010?,#16 and #17
What was the name of the injured person who injured his left knee?,Jameer Nelson
How many Men's Basketball Winners were in Evansville in 1951?,9
How many championships did the bulls win from 1996-98?,72
What team selected him with the first overall pick?,Cleveland Cavaliers
What team tied Lakers with the Boston Celtics for the most championships in the league?,Miami Heat
How many points did Kevin Durant score in Game 1 of the playoffs?,41
Who was the owner of the Timberwolves?,Glen Taylor
How many of the team's 1981-82 wins were by four or fewer points?,six
How many seconds did he play for the rest of the game?,89
On what date did Collison help the Thunder to a Western Conference Semifinals Game 7 win over the Memphis Grizzlies?,"May 15, 2011"
What team did Turner play for from 2014-2016?,Boston Celtics
How many double-doubles did he post on the year?,10
How many points did Mills average as a sophomore in 2008-09?,18.4
How many rebounds and 2.4 assists per game did he average?,9.3
What city did the Rockets begin talks with on a possible location for an arena for?,Houston
What is the name of the Indiana Pacers team?,Indiana Pacers
When will Texas join the NCAA Division III Southern Athletic Association?,2025
Who was the head coach of Maryland in 2000-03-16?,Monty Williams
Who was the Gordie Howe Entrance named in honor of?,Red Wing player
Who was the head coach of the Panther team in 2011?,Rob Jeter
What is the name of the community college in Panama City FL?,Gulf Coast Community College
In what round did both teams face inspired opponents?,first round
Who was bullied into 16 points and 6 rebounds?,MacCulloch
"How many points did Lowry score in a 122-95 win over the 76ers on November 28, 2016?",24
How many people attended the Bears game against the Duke Blue Devils?,"47,000"
Where is Jerome Jordan from?,Jamaica
What league did the Idaho Stampede belong to?,NBA D-League
What is the name of the team that is # 1?,Denver Nuggets
When was Montgomery Eli Williams born?,"October 8, 1971"
What is the name of the Robert Morris Colonials School?,Robert Morris University
What team did the Maple Leafs lose to in 1931?,Chicago Blackhawks
How many series of games are there to determine the PCC basketball champion?,three
Who named Wade to the All-America First Team?,the Associated Press
"What was the name of the exhibition basketball game played on July 27, 2019?",The 2019 WNBA All-Star Game
On what date did Cole start his first game for the Heat?,"October 29, 2014"
Who created the school for Newman?,his father
Who bought out Griffin's contract on March 5?,Pistons
"Who led the championship team in points per game, assists, free throw percentage, and steals per game?",Scheyer
On what day did Harris record 30 points and 12 rebounds?,"February 23, 2018"
How many seats does the Skyhawk Arena have?,"4,300"
Where were the 1956 Summer Olympics held?,"Melbourne, Australia"
Who was the MVP candidate in the first year?,Alcindor
What team did the Warriors defeat in the first round of the playoffs?,Dallas Mavericks
What was the only close game the Huskies received all year long?,Virginia Tech
Who was the voice actor in Tarzan II?,Baron Davis
Who was the Eastern Conference champion?,Cleveland Cavaliers
When did the Tigers leave the Missouri Valley Conference?,1976
Which team won the rematch in six years?,Mavericks
How many minutes does Andre play per game?,6
Who is an alumnus of the Seattle SuperSonics Central Washington?,Theartis Wallace
Who was a member of the Charlotte Bobcats / Hornets from 2011-2015?,Biyombo
What was the first invitation to the NIT since 1990?,the Flashes
Tim is known for his low-profile and what off the court?,sportsmanship
Pippen faced a backlash from who after his comments?,Bulls fans
Who was the 54th pick?,Dijon Thompson
Who served as head coach between 1969-1978?,Tom Heinsohn
How many games was he forced to miss?,14
"When did Iguodala play his 1,000th regular season game?","December 11, 2017"
How many minutes did Tim Duncan play at the center position?,more
Who did not reach the Playoffs in 2008-09 Eastern Atlantic?,Isiah Thomas
What team did he trade to in 1988?,Sacramento Kings
What was the name of the Finals team that played in the 2009/10 NBA?,Boston Celtics
What was the team's record for 2005-06?,33-49
How many second and five third places has the club won over its history?,three
What is Trickey's winning percentage?,.245
How many points did the Chaparrals win?,115-109
How many NBA Finals has James competed in?,ten
Which team was 0-1 against CLEM 6?,Boston College
